id,text,from_year,to_year
54,Acura,1994,
31,Alfa Romeo,1994,
3,AM General,1994,
1,American Motors,2010,
32,Audi,1994,
33,Austin/Austin Healey,1994,
90,Bluebird,1999,
34,BMW,1994,
80,Brockway,1994,
70,BSA,1994,
18,Buick / Opel,2010,
19,Cadillac,1994,
20,Chevrolet,1994,
6,Chrysler,2010,
26,Coda,2012,
64,Daewoo,2001,
60,Daihatsu,1994,
81,Diamond Reo/Reo,2010,
7,Dodge,1994,
71,Ducati,1994,
10,Eagle,2010,
91,Eagle Coach,1999,
36,Fiat,1994,
12,Ford,1994,
82,Freightliner,1994,
83,FWD,1994,
92,Gillig,1999,
23,GMC,1994,
25,Grumman,2010,
72,Harley-Davidson,1994,
37,Honda,2010,
55,Hyundai,1994,
8,Imperial,1994,
58,Infiniti,1994,
84,International Harvester/Navistar,1994,
38,Isuzu,1994,
88,Iveco/Magirus,2010,
39,Jaguar,1994,
2,Jeep / Kaiser-Jeep / Willys- Jeep,2010,
73,Kawasaki,1994,
85,Kenworth,1994,
63,KIA,2001,
40,Lancia,1994,
62,Land Rover,2001,
59,Lexus,1994,
13,Lincoln,1994,
86,Mack,1994,
41,Mazda,1994,
93,MCI,1999,
42,Mercedes-Benz,1994,
14,Mercury,1994,
56,Merkur,1994,
43,MG,1994,
52,Mitsubishi,1994,
74,Moto-Guzzi,1994,
35,Nissan/Datsun,1994,
75,Norton,1994,
97,Not Reported,2010,
21,Oldsmobile,1994,
29,Other Domestic Manufacturers,2000,
69,Other Import,1994,
98,Other Make,2010,
87,Peterbilt,1994,
44,Peugeot,1994,
9,Plymouth,1994,
22,Pontiac,1994,
45,Porsche,1994,
46,Renault,1994,
47,Saab,1994,
24,Saturn,1994,
67,Scion,2012,
65,Smart,2007,
61,Sterling,1994,
48,Subaru,1994,
53,Suzuki,1994,
94,Thomas Built,1999,
49,Toyota,1994,
50,Triumph,1994,
99,Unknown Make,1994,
77,Victory,2008,
30,Volkswagen,1994,
51,Volvo,1994,
89,White/Autocar White/GMC,1994,
76,Yamaha,1994,
57,Yugo,1994,
