id,modelname,make
998,(Other Vehicle),
701,0- 50 cc,
703,125-349 cc,
733,125-349cc (ATV),
704,350-449 cc,
734,350cc or greater (ATV),
705,450-749 cc,
702,51-124 cc,
732,51-124cc (ATV),
34,600,
706,750 cc or greater,
32,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",
31,"Civic/CRX, del Sol",
402,CR-V,
41,CR-Z,
405,Crosstour (2012-2015 only. See vehicle model 37-032 for model years 2010 and 2011.),
403,Element,
36,EV Plus*,
38,FCX/Clarity,
39,Fit,
404,HR-V,
37,Insight,
441,Odyssey,
398,Other (automobile),
498,Other (light truck),
401,Passport,
422,Passport (2019 on. For 1994-2002 see model 401.),
421,Pilot,
33,Prelude,
471,Ridgeline,
35,S2000,
399,Unknown (automobile),
999,Unknown (HONDA),
499,Unknown (light truck),
709,Unknown cc,
739,Unknown cc (ATV),
